ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,easting,northing
5145,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Kendall/MIT,place-knncl,1389,5162,77,18,67,434,768015.16,2957375.19
5150,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Porter,place-portr,6098,409,77,79,5,289,759062.42,2966679.98999999
5161,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Alewife,place-alfcl,72111,0,77,937,0,937,752981.59,2969782.02
5167,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Central,place-cntsq,21951,18096,77,285,235,2159,763303.65,2958426.04
5168,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Davis,place-davis,43926,550,77,570,7,1500,758156.45,2969832.48
5171,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Harvard,place-harsq,27623,7437,77,359,97,2109,759116.13,2961355.2
5173,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Kendall/MIT,place-knncl,6930,25192,77,90,327,1922,768015.16,2957375.19
5176,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Porter,place-portr,28278,1548,77,367,20,1847,759062.42,2966679.98999999
5205,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_09,NIGHT,Porter,place-portr,1268,133,77,16,2,45,759062.42,2966679.98999999
5207,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Alewife,place-alfcl,0,42133,12,0,3511,0,752981.59,2969782.02
5225,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Harvard,place-harsq,48728,127965,77,633,1662,4133,759116.13,2961355.2
